Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,12-Jan-2018,0.3448,0.3459,0.3448,0.3456,0
AEDCAD,12-Jan-2018,0.3408,0.3415,0.3408,0.341,0
AEDCHF,12-Jan-2018,0.2656,0.2657,0.2647,0.2647,0
AEDDKK,12-Jan-2018,1.6838,1.6838,1.6677,1.6677,0
AEDEUR,12-Jan-2018,0.2261,0.2261,0.2239,0.2239,0
AEDGBP,12-Jan-2018,0.201,0.201,0.1997,0.1997,0
AEDINR,12-Jan-2018,17.334,17.334,17.304,17.313,0
AEDJPY,12-Jan-2018,30.282,30.34,30.28,30.313,0
AEDNOK,12-Jan-2018,2.18,2.18,2.1618,2.1618,0
AEDNZD,12-Jan-2018,0.3745,0.376,0.3745,0.376,0
AEDPKR,12-Jan-2018,30.116,30.138,30.116,30.122,0
AEDSAR,12-Jan-2018,1.0202,1.0207,1.0202,1.0204,0
AEDSEK,12-Jan-2018,2.2124,2.2124,2.1983,2.1983,0
AEDUSD,12-Jan-2018,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,12-Jan-2018,3.3657,3.391,3.3622,3.3624,0
ALLGBP,12-Jan-2018,0.0065,0.0065,0.0065,0.0065,0
ARSAUD,12-Jan-2018,0.0677,0.0679,0.0677,0.0677,0
ARSBRL,12-Jan-2018,0.1719,0.1722,0.1711,0.1716,0
ARSCAD,12-Jan-2018,0.0669,0.0671,0.0668,0.0668,0
ARSCHF,12-Jan-2018,0.0522,0.0522,0.0518,0.0519,0
ARSEUR,12-Jan-2018,0.0444,0.0444,0.0439,0.0439,0
ARSGBP,12-Jan-2018,0.0395,0.0395,0.039,0.039,0
ARSHKD,12-Jan-2018,0.4182,0.4192,0.417,0.4191,0
ARSHUF,12-Jan-2018,13.704,13.704,13.551,13.551,0
ARSJPY,12-Jan-2018,5.947,5.957,5.937,5.946,0
ARSMXN,12-Jan-2018,1.0279,1.0281,1.0174,1.0198,0
ARSSGD,12-Jan-2018,0.0711,0.0711,0.0709,0.0709,0
ARSUSD,12-Jan-2018,0.0535,0.0536,0.0534,0.0536,0
ARSZAR,12-Jan-2018,0.6621,0.6658,0.6614,0.662,0
AUDAED,12-Jan-2018,2.9,2.9,2.89,2.89,0
AUDARS,12-Jan-2018,14.7486,14.7793,14.7181,14.7758,0
AUDBRL,12-Jan-2018,2.5338,2.535,2.5235,2.534,0
AUDCAD,12-Jan-2018,0.9876,0.9889,0.9847,0.9857,0
AUDCHF,12-Jan-2018,0.7693,0.7699,0.763,0.7651,0
AUDCNH,12-Jan-2018,5.1177,5.1252,5.0837,5.1061,0
AUDCNY,12-Jan-2018,5.1155,5.1225,5.0775,5.1049,0
AUDCZK,12-Jan-2018,16.683,16.685,16.517,16.536,0
AUDDKK,12-Jan-2018,4.8759,4.8765,4.8227,4.8296,0
AUDEUR,12-Jan-2018,0.6548,0.6548,0.6476,0.6484,0
AUDFJD,12-Jan-2018,1.5887,1.5902,1.5848,1.5853,0
AUDGBP,12-Jan-2018,0.5822,0.5823,0.5743,0.5762,0
AUDHKD,12-Jan-2018,6.1703,6.1971,6.1402,6.1901,0
AUDHUF,12-Jan-2018,201.97,201.97,199.86,200,0
AUDIDR,12-Jan-2018,10340,10525.6,10240.8,10513.2,0
AUDILS,12-Jan-2018,2.6949,2.6982,2.6732,2.6899,0
AUDINR,12-Jan-2018,50.177,50.302,49.927,50.286,0
AUDJPY,12-Jan-2018,87.742,87.935,87.391,87.838,0
